[08/Apr/2021 23:49:28] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:49:28.462488' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:49:28.462488', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:49:32] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:49:32] DEBUG [django.db.backends:123] (0.001) SELECT `notice`.`id`, `notice`.`user_id`, `notice`.`title`, `notice`.`content`, `notice`.`kinds`, `notice`.`pub_date` FROM `notice` WHERE `notice`.`kinds` = 'driver' ORDER BY `notice`.`pub_date` DESC LIMIT 10; args=('driver',)
[08/Apr/2021 23:49:33] DEBUG [django.db.backends:123] (0.001) SELECT `my_user`.`id`, `my_user`.`userid`, `my_user`.`name`, `my_user`.`password`, `my_user`.`tel`, `my_user`.`photo`, `my_user`.`authority`, `my_user`.`registered_dttm` FROM `my_user` WHERE `my_user`.`id` = 1 LIMIT 21; args=(1,)
[08/Apr/2021 23:49:33] DEBUG [django.db.backends:123] (0.001) SELECT `my_user`.`id`, `my_user`.`userid`, `my_user`.`name`, `my_user`.`password`, `my_user`.`tel`, `my_user`.`photo`, `my_user`.`authority`, `my_user`.`registered_dttm` FROM `my_user` WHERE `my_user`.`id` = 1 LIMIT 21; args=(1,)
[08/Apr/2021 23:49:33] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
[08/Apr/2021 23:49:33] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:49:33.159476' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:49:33.159476', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:49:37] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:49:37] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
[08/Apr/2021 23:49:37] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:49:37.335590' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:49:37.335590', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:49:50] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:49:50] DEBUG [django.db.backends:123] (0.001) SELECT `accounting_outlay`.`id`, `accounting_outlay`.`kinds`, `accounting_outlay`.`salary_id`, `accounting_outlay`.`brief`, `accounting_outlay`.`price`, `accounting_outlay`.`outlay_date`, `accounting_outlay`.`user_id`, `accounting_outlay`.`pub_date` FROM `accounting_outlay` ORDER BY `accounting_outlay`.`outlay_date` DESC; args=()
[08/Apr/2021 23:49:50] DEBUG [django.db.backends:123] (0.004) SELECT `accounting_monthlysalary`.`id`, `accounting_monthlysalary`.`member_id`, `accounting_monthlysalary`.`base`, `accounting_monthlysalary`.`bonus`, `accounting_monthlysalary`.`additional`, `accounting_monthlysalary`.`deductible`, `accounting_monthlysalary`.`total`, `accounting_monthlysalary`.`payment_month`, `accounting_monthlysalary`.`user_id`, `accounting_monthlysalary`.`pub_date` FROM `accounting_monthlysalary` WHERE `accounting_monthlysalary`.`payment_month` = '2021-04'; args=('2021-04',)
[08/Apr/2021 23:49:50] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
[08/Apr/2021 23:49:50] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:49:50.714160' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:49:50.714160', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:49:54] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:49:54] DEBUG [django.db.backends:123] (0.001) SELECT `accounting_monthlysalary`.`id`, `accounting_monthlysalary`.`member_id`, `accounting_monthlysalary`.`base`, `accounting_monthlysalary`.`bonus`, `accounting_monthlysalary`.`additional`, `accounting_monthlysalary`.`deductible`, `accounting_monthlysalary`.`total`, `accounting_monthlysalary`.`payment_month`, `accounting_monthlysalary`.`user_id`, `accounting_monthlysalary`.`pub_date` FROM `accounting_monthlysalary`; args=()
[08/Apr/2021 23:49:54] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
[08/Apr/2021 23:49:54] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:49:54.029918' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:49:54.029918', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:49:59] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:49:59] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:49:59.698759' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:49:59.698759', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:49:59] DEBUG [django.db.backends:123] (0.001) SELECT `my_user`.`id`, `my_user`.`userid`, `my_user`.`name`, `my_user`.`password`, `my_user`.`tel`, `my_user`.`photo`, `my_user`.`authority`, `my_user`.`registered_dttm` FROM `my_user` WHERE `my_user`.`id` = 1 LIMIT 21; args=(1,)
[08/Apr/2021 23:49:59] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
[08/Apr/2021 23:50:49] DEBUG [django.db.backends:123] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[08/Apr/2021 23:50:49] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:50:49] DEBUG [django.db.backends:123] (0.003) SHOW FULL TABLES; args=None
[08/Apr/2021 23:50:49] DEBUG [django.db.backends:123] (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
[08/Apr/2021 23:50:53] DEBUG [django.db.backends:123] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[08/Apr/2021 23:50:53] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:50:53] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:50:53.339199' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:50:53.339199', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:50:53] DEBUG [django.db.backends:123] (0.001) SELECT `my_user`.`id`, `my_user`.`userid`, `my_user`.`name`, `my_user`.`password`, `my_user`.`tel`, `my_user`.`photo`, `my_user`.`authority`, `my_user`.`registered_dttm` FROM `my_user` WHERE `my_user`.`id` = 1 LIMIT 21; args=(1,)
[08/Apr/2021 23:50:53] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
